MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 0965		S85MC0965C	ROSE MANSION		10 ROSE LANE 01-03 SINGAPORE 437370	TERMINATED	6		19/09/1985	MCST	
 Single Tier Management Corporation	 0966		S85MC0966K	DUCHESS PARK (Terminated)		TERMINATED VICTORIA STREET - SINGAPORE 	TERMINATED	17		20/09/1985	T Y CHONG & ASSOCIATES MANAGEMENT CONSULTANTS PTE LTD	66657555
 Single Tier Management Corporation	 0967		S85MC0967F	GOLDLION BUILDING	161 KAMPONG AMPAT 368329	161 KAMPONG AMPAT - SINGAPORE 368329	ACTIVE	16	67336845	20/09/1985	Kirin International Property Consultancy Pte Ltd	67336845
 Single Tier Management Corporation	 0968		S85MC0968B	WESTPEAK (TERMINATED)	208 WEST COAST WALK 127385	5 WEST COAST WALK - SINGAPORE 127146	TERMINATED	98	67763630	21/09/1985	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333
 Single Tier Management Corporation	 0969		S85MC0969J			TERMINATED  - SINGAPORE 	TERMINATED	3		26/09/1985	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333
 Single Tier Management Corporation	 0970		S85MC0970F			TERMINATED  - SINGAPORE 	TERMINATED	4		26/09/1985	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333
 Single Tier Management Corporation	 0971		S85MC0971B	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0917	386B EAST COAST ROAD 428988	265 KAKI BUKIT AVENUE 1 03-01 SINGAPORE 416067	ACTIVE	6	63468008	26/09/1985	MCST	
 Single Tier Management Corporation	 0972		S85MC0972J	AUTUMN TEN		489 DUNMAN ROAD - SINGAPORE 439192	TERMINATED	5		27/09/1985	MCST	
 Single Tier Management Corporation	 0973		S85MC0973E	VILLA DES FLORES	125 WHITLEY ROAD 297820	125 WHITLEY ROAD 01-00 SINGAPORE 297820	ACTIVE	41	94558190	27/09/1985	Ocean IFM Pte Ltd	94558190
 Single Tier Management Corporation	 0974		S85MC0974A	SINDO BUILDING	66 TANNERY LANE 347805	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	53	63345565	01/10/1985	DICKSON PROPERTY CONSULTANTS PTE LTD	63345565
 Single Tier Management Corporation	 0975		S85MCO975H	KATONG PLAZA	1 BROOKE ROAD 429979	1 BROOKE ROAD 03-13 SINGAPORE 429979	ACTIVE	146	64471722	02/10/1985		
 Single Tier Management Corporation	 0976		S85MC0976D	THE CLAYMORE	25 CLAYMORE ROAD 229543	27 CLAYMORE ROAD 01-01 SINGAPORE 229544	ACTIVE	146	67348457	02/10/1985	Jones Lang LaSalle Property Consultants Pte Ltd	62203888
 Single Tier Management Corporation	 0977		S85MC0977L	SIGLAP COURT		23 TAI SENG DRIVE - SINGAPORE 535224	TERMINATED	12	68760123	02/10/1985	JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD	62203888
 Single Tier Management Corporation	 0978		S85MC0978G	OCEAN PARK	520 EAST COAST ROAD 458965	524 EAST COAST ROAD - SINGAPORE 458967	ACTIVE	298	6445 8208	03/10/1985	Ace Body Corporate Management Pte Ltd	6255 7997
 Single Tier Management Corporation	 0979		S85MC0979C	SARKIES MANSION (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	11		03/10/1985	ACE BODY CORPORATE MANAGEMENT PTE LTD	62557997
 Single Tier Management Corporation	 0980		S85MC0980L	TERESA VILLE CONDOMINIUM	1001 LOWER DELTA ROAD 099307	1001 LOWER DELTA ROAD 01-01 SINGAPORE 099307	ACTIVE	270	62747600	03/10/1985	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 0981		S85MC0981G	KAPO FACTORY	125 UPPER PAYA LEBAR ROAD 534838	80 PLAYFAIR ROAD 02-12 SINGAPORE 367998	ACTIVE	17	62835366	04/10/1985		
 Single Tier Management Corporation	 0982		S85MC0982C	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0892	659A GEYLANG ROAD 389585	665A GEYLANG ROAD - SINGAPORE 389585	ACTIVE	7	96833999	04/10/1985		
 Single Tier Management Corporation	 0983		S85MC0983K	LYNNSVILLE (Terminated)	331 PASIR PANJANG ROAD 118656	- SEMBAWANG ROAD - SINGAPORE 	TERMINATED	7	64521738	04/10/1985	nil	
 Single Tier Management Corporation	 0984		S85MC0984F	SERAN  COURT	4A WOLSKEL ROAD 357959	4A WOLSKEL ROAD - SINGAPORE 357959	ACTIVE	4	97266493	07/10/1985	NIL	
 Single Tier Management Corporation	 0985		S85MC0985B	GREEN LODGE CONDOMINIUM	19 TOH TUCK ROAD 596683	19A TOH TUCK ROAD - SINGAPORE 596684	TERMINATED	80	64690763	07/10/1985	Stature Real Estate Enterprises Pte Ltd	67792711
 Single Tier Management Corporation	 0986		S85MC0986J	RICHFIELD INDUSTRIAL CENTRE	120 EUNOS AVENUE 7 409574	122 EUNOS AVENUE 7 08-18 SINGAPORE 409575	ACTIVE	162	67463011	08/10/1985	Property Facility Serivces Pte Ltd	62211313
 Single Tier Management Corporation	 0987		S85MC0987E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0987	303A CHANGI ROAD 419781	43A LORONG MARZUKI - SINGAPORE 417113	ACTIVE	4	67421545	09/10/1985	ORCHARD MAINTENANCE PTE LTD	62352411
 Single Tier Management Corporation	 0988		S85MC0988A	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0988	22 NEO PEE TECK LANE 119052	22 NEO PEE TECK LANE - SINGAPORE 119052	ACTIVE	4	67751667	08/10/1985		
 Single Tier Management Corporation	 0989		S85MC0989H	POINT LOMA		14 SCOTTS ROAD 06-00 SINGAPORE 228213	TERMINATED	12	62352411	12/10/1985		64288466
 Single Tier Management Corporation	 0990		S85MC0990E	HONOLULU TOWER	341 BUKIT TIMAH ROAD 259719	341 BUKIT TIMAH ROAD 01-01 SINGAPORE 259719	ACTIVE	30	67349957	14/10/1985	Realty International Associates Pte Ltd	68776598
 Single Tier Management Corporation	 0991		S85MC0991A	MARZUKI LODGE	38 LORONG MARZUKI 417104	15 WEST COAST HIGHWAY 04-01 SINGAPORE 117861	TERMINATED	12	67737747	15/10/1985	OPTIMUZ REAL ESTATE CONSULTANTS PTE LTD	67737747
 Single Tier Management Corporation	 0992		S85MC0992H	CHESTNUT VILLE	46 JALAN PAKIS 678633	50 JALAN PAKIS - SINGAPORE 678639	ACTIVE	45	64411184	15/10/1985	A4 International Pte Ltd	64411184
 Single Tier Management Corporation	 0993		S85MC0993D	HORIZON TOWERS	15 LEONIE HILL ROAD 239194	29 LEONIE HILL 02-05 SINGAPORE 239228	ACTIVE	210	67322008	15/10/1985	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 0994		S85MC0994L	MCST TERMINATED	42B MANDALAY ROAD 308217	TERMINATED MANDALAY ROAD - SINGAPORE 	TERMINATED	3	62504077	21/10/1985	NIL	
 Single Tier Management Corporation	 0995		S85MC0995G	MEYER TOWER		TERMINATED  - SINGAPORE 	TERMINATED	57		22/10/1985	PREMAS INTERNATIONAL LIMITED	62329433
 Single Tier Management Corporation	 0996		S85MC0996C	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0996	102 JALAN JURONG KECHIL 598602	102B JALAN JURONG KECHIL - SINGAPORE 598602	ACTIVE	6	65414525	23/10/1985		
 Single Tier Management Corporation	 0997		S85MC0997K	APOLLO GARDEN	617A UPPER CHANGI ROAD 487030	266 SERANGOON CENTRAL DRIVE 03-255 SINGAPORE 550266	ACTIVE	38	62273233	26/10/1985	Bernard Valuers & Real Estate Consultants Pte Ltd	62273233
 Single Tier Management Corporation	 0998		S85MC0998F	TAT LEE COURT (TERMINATED )	39 WEST COAST RISE 127482	TERMINATED WEST COAST RISE - SINGAPORE 	TERMINATED	104		28/10/1985	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0999		S85MC0999B			TERMINATED  - SINGAPORE 	TERMINATED	8		28/10/1985	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 1000		S85MC1000K			TERMINATED  - SINGAPORE 427542	TERMINATED	7		28/10/1985	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 1001		S85MC1001F	MANAGEMENT CORPN STRATA TITLE PLAN NO 1001	190 MIDDLE ROAD 188979	190 MIDDLE ROAD 06-00 SINGAPORE 188979	ACTIVE	232	6339 5755	29/10/1985	SavillsCKH Pte Ltd	63395755
 Single Tier Management Corporation	 1002		S85MC1002B	CITIMAC INDUSTRIAL  COMPLEX	605 MACPHERSON ROAD 368239	605 MACPHERSON ROAD 01-04 SINGAPORE 368239	ACTIVE	110	62841685	29/10/1985	Ocean IFM Pte Ltd	68861936
 Single Tier Management Corporation	 1003		S85MC1003J	SPRINGWELL MANSIONS	21C JALAN HAJI SALAM 468786	19 JALAN HAJI SALAM - SINGAPORE 468786	ACTIVE	6	90080300	29/10/1985		
 Single Tier Management Corporation	 1004		S85MC1004E	YONG SIAK VIEW	23C YONG SIAK STREET 168650		ACTIVE	12	67336845	29/10/1985		
 Single Tier Management Corporation	 1005		S85MC1005A		107 CEYLON ROAD 429690	107 CEYLON ROAD 01-02 SINGAPORE 429690	TERMINATED	6	90123164	29/10/1985	PROACT BUILDING MAINTENANCE SERVICES	
 Single Tier Management Corporation	 1006		S85MC1006H			TERMINATED  - SINGAPORE 	TERMINATED	12		31/10/1985	PROACT BUILDING MAINTENANCE SERVICES	
 Single Tier Management Corporation	 1007		S85MC1007D	BALMORAL PARK (Terminated)	5 BALMORAL PARK 259829	5 BALMORAL PARK - SINGAPORE 259829	TERMINATED	12	64497141	01/11/1985	ASCENT PROPERTY SERVICES	64497141
 Single Tier Management Corporation	 1008		S85MC1008L	PARKWAY PARADE	80 MARINE PARADE ROAD 449269	80 MARINE PARADE ROAD 08-02 SINGAPORE 449269	ACTIVE	429	63454665	02/11/1985	Lend Lease Retail Pte. Ltd.	63454665
 Single Tier Management Corporation	 1009		S85MC1009G			TERMINATED  - SINGAPORE 	TERMINATED	32		06/11/1985	LEND LEASE RETAIL PTE LTD	63454665
 Single Tier Management Corporation	 1010		S85MC1010D	HOLLAND VIEW (Terminated)	621 QUEENSWAY 276747	TERMINATED QUEENSWAY - SINGAPORE 	TERMINATED	48		06/11/1985	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033
 Single Tier Management Corporation	 1011		S85MC1011L	DONG XING COURT	3A TAY LIAN TECK ROAD 455629	289 ONAN ROAD - SINGAPORE 424674	ACTIVE	16	64401085	07/11/1985	GAN THENG BOH	64459503
 Single Tier Management Corporation	 1012		S85MC1012G	WEN YUAN COURT	22 LORONG K TELOK KURAU 425623	1 YUK TONG AVENUE 01-01 SINGAPORE 596306	TERMINATED	12	64661342	07/11/1985	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 1013		S85MC1013C	JALAN BESAR PLAZA	101 KITCHENER ROAD 208511	101 KITCHENER ROAD 05-00 SINGAPORE 208511	ACTIVE	155	6417 9222	08/11/1985	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	6417 9205
 Single Tier Management Corporation	 1014		S85MC1014K	7 NASSIM	7 NASSIM ROAD 258374	7 NASSIM ROAD B1-01 SINGAPORE 258374	ACTIVE	8	65837867	08/11/1985	Vinco Real Estate Management Pte Ltd	65837867
 Single Tier Management Corporation	 1015		S85MC1015F	SING INDUSTRIAL COMPLEX	32 ANG MO KIO INDUSTRIAL PARK 2 569510	32 ANG MO KIO INDUSTRIAL PARK 2 07-01 SINGAPORE 569510	ACTIVE	120	64819933	12/11/1985	First Boston Property Consultants Pte Ltd	63393779
 Single Tier Management Corporation	 1016		S85MC1016B	PANJANG COURT (Terminated)		TERMINATED JALAN MENDONG - SINGAPORE 	TERMINATED	24		21/11/1985	FRANS D' SAN ENGINEERING PTE LTD	64819933
 Single Tier Management Corporation	 1017		S85MC1017J	CANARY LAND PTE LTD	32 DUKU ROAD 429190	51 GUL STREET 1 04-00 SINGAPORE 629318	TERMINATED	18		12/11/1985	HUB ASSET MANAGEMENT PTE LTD	64664703
 Single Tier Management Corporation	 1018		S85MC1018E	PARAMOUNT HOTEL & SHOPPING COMPLEX	30 EAST COAST ROAD 428751	30 EAST COAST ROAD 03-40 SINGAPORE 428751	TERMINATED	92	63442456	13/11/1985	YTC BUILDING SERVICES PTE LTD	63442456
 Single Tier Management Corporation	 1019		S85MC1019A	PERFECT ONE	1 GENTING LINK 349518	1 GENTING LINK 05-06 SINGAPORE 349518	ACTIVE	47	67435530	14/11/1985	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 1020		S85MC1020J	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1020	28B JALAN HAJI ALIAS 268529	28A JALAN HAJI ALIAS - SINGAPORE 268530	ACTIVE	6	64688109	14/11/1985		
 Single Tier Management Corporation	 1021		S85MC1021E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1021	24 PASIR PANJANG HILL 118840	24 PASIR PANJANG HILL - SINGAPORE 118840	ACTIVE	4	64730710	15/11/1985		
 Single Tier Management Corporation	 1022		S85MC1022A	ROSE LANE COURT	8C ROSE LANE 437367	6 ROSE LANE 6- SINGAPORE 437367	ACTIVE	8	98808101	18/11/1985		
 Single Tier Management Corporation	 1023		S85MC1023H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1023	285B OUTRAM ROAD 169069	285/A-C OUTRAM ROAD - SINGAPORE 169069	ACTIVE	3	62235873	18/11/1985	MCST	
 Single Tier Management Corporation	 1024		S85MC1024D	MUN HEAN INDUSTRIAL BUILDINGS	51 KIM KEAT ROAD 328823	51 KIM KEAT ROAD 05-02 SINGAPORE 328821	ACTIVE	8	68421731	18/11/1985	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 1025		S85MC1025L	BEAVERTON COURT	45 MOUNT SINAI RISE 276958	45 MOUNT SINAI RISE - SINGAPORE 276958	ACTIVE	54	64648741	25/11/1985	SavillsCKH Pte Ltd	6464 8741
 Single Tier Management Corporation	 1026		S85MC1026G	GOH & GOH BUILDING	110 UPPER BUKIT TIMAH ROAD 588169	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	14	68421731	25/11/1985	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 1027		S85MC1027C	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1027	19C LORONG 13 GEYLANG 388662	19B LORONG 13 GEYLANG - SINGAPORE 388662	ACTIVE	3	67473559	26/11/1985	MELANA INTERNATIONAL PTE LTD	63271110
 Single Tier Management Corporation	 1028		S1220181G	MANAGEMENT CORPN STRATA TITLE PLAN NO 1028	105 SIMS AVENUE 387429	105 SIMS AVENUE 01-14 SINGAPORE 387429	ACTIVE	89	6744 1903	26/11/1985	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	68485678
 Single Tier Management Corporation	 1029		S85MC1029F	STILLINGIA COURT	12 STILL ROAD 423958	12C STILL ROAD - SINGAPORE 423956	TERMINATED	9		26/11/1985	MCST	
 Single Tier Management Corporation	 1030		S85MC1030C	NOBLE LOGISTICS	49 TANNERY LANE 347796	1A YUK TONG AVENUE 01-01 SINGAPORE 596306	ACTIVE	36	64661342	28/11/1985	Philip Motha Property Management Pte Ltd	64661342
 Single Tier Management Corporation	 1031		S85MC1031K	PENINSULA PLAZA	111 NORTH BRIDGE ROAD 179098	111 NORTH BRIDGE ROAD 09-01 SINGAPORE 179098	ACTIVE	463	63377188	30/11/1985	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 1032		S85MC1032F	KEMBANGAN VILLE	16 JALAN MASJID 418941	C/o 8 ASIMONT LANE - SINGAPORE 309947	TERMINATED	23	97316329	30/11/1985	MCST	
 Single Tier Management Corporation	 1033		S85MC1033B	CHINATOWN PLAZA	34 CRAIG ROAD 89673	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	71	63345565	02/12/1985	DICKSON FACILITIES & STRATA MANAGEMENT	6334 5565
 Single Tier Management Corporation	 1034		S85MC1034J	KATONG OMEGA APARTMENTS	367B EAST COAST ROAD 428974	1 YUK TONG AVENUE 1-1 SINGAPORE 596306	ACTIVE	18	64661342	02/12/1985	Philip Motha Property Management Pte Ltd	64661342
 Single Tier Management Corporation	 1035		S85MC1035E	COSY MANSION		TERMINATED  - SINGAPORE 	TERMINATED	20		03/12/1985	PHILIP MOTHA PROPERTY  MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 1036		S85MC1036A	MANAGEMENT CORPN STRATA TITLE PLAN NO 1036	11 EAST COAST ROAD 428722	11 EAST COAST ROAD 04-00 SINGAPORE 428722	ACTIVE	83	6345-7956	05/12/1985	PROPERTY FACILITY SERVICES PTE LTD	62104391
 Single Tier Management Corporation	 1037		S85MC1037H	LEIGHWOODS	37 MOUNT SINAI RISE 279656	37 MOUNT SINAI RISE 01-01 SINGAPORE 276956	ACTIVE	23	64111679	06/12/1985	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64111679
 Single Tier Management Corporation	 1038		S85MC1038D	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1038	146B LORONG L TELOK KURAU 425576	146 LORONG L TELOK KURAU - SINGAPORE 425576	ACTIVE	3	63461712	07/12/1985	MCST	
 Single Tier Management Corporation	 1039		S85MC1039L	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1039	255A CHANGI ROAD 419743	1047 EUNOS AVENUE 5B 01-16 SINGAPORE 409668	ACTIVE	6	67467396	12/12/1985	MCST	
 Single Tier Management Corporation	 1040		S85MC1040H	MANAGEMENT CORPN STRATA TITLE PLAN NO 1040	3 DAIRY FARM ROAD 679035	1 DAIRY FARM ROAD 01-03 SINGAPORE 679033	ACTIVE	181	6760 5712	16/12/1985	Propnex Property Management Consultant Pte Ltd	65908879
 Single Tier Management Corporation	 1041		S85MC1041D	CAIRNHILL HEIGHTS	16 CAIRNHILL RISE 229744	200 JALAN SULTAN 11-01 SINGAPORE 199018	ACTIVE	19	62915355	17/12/1985	Wisely 98 Pte Ltd	62915355
 Single Tier Management Corporation	 1042		S85MC1042L	SINGA COURT	45 JALAN SINGA 418116	540 SIMS AVENUE 04-01 SINGAPORE 387603	TERMINATED	17	65930636	18/12/1985		
 Single Tier Management Corporation	 1043		S85MC1043G	CITY WAREHOUSE	5 KAKI BUKIT ROAD 2 417839	5 KAKI BUKIT ROAD 2 - SINGAPORE 417839	ACTIVE	53	62569333	19/12/1985	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 1044		S85MC1044C	KENG LEE COURT	74 KENG LEE ROAD 219250	151 CHIN SWEE ROAD 03-05 SINGAPORE 169876	ACTIVE	25	63375277	19/12/1985	RealtyLink Consultancy Pte Ltd	63375277
 Single Tier Management Corporation	 1045		S85MC1045K	ANCHOR GARDENS		412 UPPER EAST COAST ROAD - SINGAPORE 466488	TERMINATED	14	64418770	23/12/1985	MCST	
 Single Tier Management Corporation	 1046		s85mc1046f	CRYSTAL COURT	456 RIVER VALLEY ROAD 248342	456 RIVER VALLEY ROAD - SINGAPORE 248342	ACTIVE	17	63452117	26/12/1985		
 Single Tier Management Corporation	 1047		S85MC1047B	FABER GARDEN CONDOMINIUM	4 ANGKLONG LANE 579980	6 ANGKLONG LANE 02-02 SINGAPORE 579980	ACTIVE	236	64552845	31/12/1985	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 1048		S86MC1048C	ESSEN APARTMENTS (EN-BLOC	167 MOULMEIN ROAD 308092	71 LORONG 23 GEYLANG 04-01 SINGAPORE 388385	TERMINATED	12	67413702	02/01/1986	SIGMA ESTATE MANAGEMENT PTE LTD	62922183
 Single Tier Management Corporation	 1049		S86MC1049K	EAST COAST VILLE	320 UPPER EAST COAST ROAD 466452	519 BALESTIER ROAD 04-02 SINGAPORE 329852	TERMINATED	60	62557997	07/01/1986	ACE BODY CORPORATE MANAGEMENT PTE LTD	62557997
 Single Tier Management Corporation	 1050		S86MC1050G	MANAGEMENT CORPORATION TITLE PLAN NO. 1050	10F KOVAN ROAD 548036	10H KOVAN ROAD - SINGAPORE 548044	ACTIVE	8		08/01/1986	NIL	
 Single Tier Management Corporation	 1051		S86MC1051C	CALISAY (Terminated)	391 UPPER PAYA LEBAR ROAD 534981	391 UPPER PAYA LEBAR ROAD 01-01 SINGAPORE 534981	TERMINATED	6		14/01/1986	ACE BODY CORPORATE MANAGEMENT PTE LTD	62557997
 Single Tier Management Corporation	 1052		S86MC1052K	TANAH MERAH MANSION	137 TANAH MERAH KECHIL ROAD SOUTH 466671	865 MOUNTBATTEN ROAD 05-34 SINGAPORE 437844	ACTIVE	36	66653880	18/01/1986	Propmag Management Services Pte Ltd	66653880
 Single Tier Management Corporation	 1053		S86MC1053F	ALLSWORTH PARK	361 HOLLAND ROAD 278637	367 HOLLAND ROAD 01-01 SINGAPORE 278640	ACTIVE	170	64684032	20/01/1986	SavillsCKH Pte Ltd	67368158
 Single Tier Management Corporation	 1054		S86MC1054B	SHANGHAI COURT (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	12		22/01/1986	CKH STRATA MANAGEMENT PTE LTD	63463238
 Single Tier Management Corporation	 1055		S86MC1055J	ALDEA BLANCA		478 UPPER EAST COAST ROAD - SINGAPORE 466517	TERMINATED	16	64685100	28/01/1986	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 1056		S86MC1056E	NA	34C LORONG 25 GEYLANG 388305	32A LORONG 25 GEYLANG - SINGAPORE 388304	ACTIVE	6	96925430	24/01/1986		
 Single Tier Management Corporation	 1057		S86MC1057A	KATONG GARDENS	235 TEMBELING ROAD 423720	239 TEMBELING ROAD B1-01 SINGAPORE 423723	ACTIVE	80	63456674	27/01/1986	SunProp Property and Assest Management Consultants Pte Ltd	63456674
 Single Tier Management Corporation	 1058		S86MC1058H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1058	20 MANDAI ESTATE 729916	20 MANDAI ESTATE - SINGAPORE 729912	ACTIVE	5	62991991	27/01/1986		
 Single Tier Management Corporation	 1059		S86MC1059D		262 JOO CHIAT PLACE 427946	262 JOO CHIAT PLACE - SINGAPORE 427946	TERMINATED	6		27/01/1986		
 Single Tier Management Corporation	 1060		S86MC1060A	TERRACE VIEW		362 ONAN ROAD 01-02 SINGAPORE 424758	ACTIVE	10	94593107	06/02/1986		
 Single Tier Management Corporation	 1061		S86MC1061H	CLAYMORE PLAZA	6 CLAYMORE HILL 229571	91 BENCOOLEN STREET 02-01 SINGAPORE 189652	ACTIVE	25	68387912	14/02/1986	Hoe-Tan Co (Pte) Ltd	68387912
 Single Tier Management Corporation	 1062		S86MC1062D	KISMIS COURT	1 TOH YI ROAD 596496	1 YUK TONG AVENUE 1-1 SINGAPORE 596306	ACTIVE	26	64661342	14/02/1986	Philip Motha Property Management Pte Ltd	64661342
 Single Tier Management Corporation	 1063		S86MC1063L	enbloc	305/A/B/C JALAN BESAR 208966	305 JALAN BESAR - SINGAPORE 208966	ACTIVE	4	62981238	25/02/1986	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 1064		S86MC1064G	CORONATION GROVE	138 CORONATION ROAD 269525	531 UPPER CROSS STREET 03-52 SINGAPORE 050531	ACTIVE	24	65333375	25/02/1986	Rhodo Property & Estate Management Services Pte Ltd	65333375
 Single Tier Management Corporation	 1065		S86MC1065C	DYNASTY LODGE	269B SIXTH AVENUE 276561	265A SIXTH AVENUE - SINGAPORE 276560	ACTIVE	9	91192891	25/02/1986	RHODO PROPERTY & ESTATE MANAGEMENT SERVICES PTE LTD	65333375
 Single Tier Management Corporation	 1066		S86MC1066K	MANAGEMENT CORPORATION TITLE PLAN NO. 1066	33A CHANDER ROAD 219536	85 GENTING LANE 01-01 SINGAPORE 349569	ACTIVE	8	67438583	27/02/1986		
 Single Tier Management Corporation	 1067		S86MC1067F	PASIR RIS GARDENS		TERMINATED  - SINGAPORE 	TERMINATED	122		27/02/1986	CHAN KOK HONG PROPERTY CONSULTANTS PTE LTD	63463238
 Single Tier Management Corporation	 1068		S86MC1068B	TAI GIN APARTMENTS	34 AH HOOD ROAD 329978	8 ASIMONT LANE - SINGAPORE 309947	TERMINATED	18	97316329	14/03/1986	NIL	
 Single Tier Management Corporation	 1069		S86MC1069J		382B PASIR PANJANG ROAD 118712	380B PASIR PANJANG ROAD - SINGAPORE 118712	TERMINATED	6	67740875	17/03/1986	NIL	
 Single Tier Management Corporation	 1070		S86MC1070F	SERIAVILLE	59 KOVAN ROAD 548148	61 KOVAN ROAD - SINGAPORE 549149	ACTIVE	9	67470926	21/03/1986	Weavepact Management Pte Ltd	67470926
 Single Tier Management Corporation	 1071		S86MC1071B	THOMSON GROVE	580 YIO CHU KANG ROAD 787070	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	116	68421731	24/03/1986	Landsfield Property Consultants Pte Ltd	68421731
 Single Tier Management Corporation	 1072		S86MC1072J			TERMINATED  - SINGAPORE 	TERMINATED	7		25/03/1986	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731
 Single Tier Management Corporation	 1073		S86MC1073E	KB  WAREHOUSE COMPLEX	49 KAKI BUKIT ROAD 2 417844	200 JALAN SULTAN 11-01 SINGAPORE 199018	ACTIVE	22	62915355	29/03/1986	Wisely 98 Pte Ltd	62915355
 Single Tier Management Corporation	 1074		S86MC1074A		6 MAR THOMA ROAD 328688	TERMINATED MAR THOMA ROAD - SINGAPORE 	TERMINATED	14		01/04/1986	NIL	
 Single Tier Management Corporation	 1075		S86MC1075H	EASTERN LAGOON II	200 UPPER EAST COAST ROAD 455283	208 UPPER EAST COAST ROAD 01-01 SINGAPORE 455287	ACTIVE	220	62427531	05/04/1986		
 Single Tier Management Corporation	 1076		S86MC1076D	EASTERN LAGOON I	212 UPPER EAST COAST ROAD 466401	214 UPPER EAST COAST ROAD 02-00 SINGAPORE 466402	ACTIVE	87	62421520	05/04/1986	Hilandas Property and Facilities Management Pte. Ltd	63420778
 Single Tier Management Corporation	 1077		S86MC1077L	ST. PATRICKS VILLA	41 ST. PATRICKS ROAD 424164	540 SIMS AVENUE 03-06 SINGAPORE 387603	TERMINATED	9	68421731	05/04/1986	LANDSFIELD  PROPERTY CONSULTANTS PTE LTD	68421731
 Single Tier Management Corporation	 1078		S86MC1078G	MARINE PARADE GARDEN	36 ST. PATRICKS ROAD 424163	PO BOX 061 TOA PAYOH CENTRAL - SINGAPORE 913103	TERMINATED	48	62787078	08/04/1986	WILSON DAVIS CORPORATE REAL ESTATE MANAGEMENT PTE LTD	62787078
 Single Tier Management Corporation	 1079		S86MC1079C	NIM GARDENS	71 NIM ROAD 807584	73 NIM ROAD 01-04 SINGAPORE 807584	ACTIVE	124	64811654	09/04/1986	Melana International Pte Ltd	68403834
 Single Tier Management Corporation	 1080		S86MC1080L			355 UPPER PAYA LEBAR ROAD 03-02 SINGAPORE 534958	TERMINATED	6		11/04/1986	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731
