MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 2128		S1196272F	MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2128	30 BRISTOL ROAD 219860	30 BRISTOL ROAD - SINGAPORE 219860	ACTIVE	7	64411184	10/11/1997	A4 International Pte Ltd	6441 1184
 Single Tier Management Corporation	 2129		S97MC2129A	PREMIER CENTRE	103 BEACH ROAD 189704	168 CHANGI ROAD 04-01 SINGAPORE 419730	TERMINATED	7		09/10/1997	KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD	62207535
 Single Tier Management Corporation	 2130		S97MC2130J	EAST BAY GARDENS	87 LORONG G TELOK KURAU 426277	87 LORONG G TELOK KURAU 01-05 SINGAPORE 426277	ACTIVE	40	62501102	08/10/1997	Bond Properties Pte Ltd	62501102
 Single Tier Management Corporation	 2131		S97MC2131E	AZALEA PARK	2 FLORA ROAD 509725	2 FLORA ROAD 01-01 SINGAPORE 509725	ACTIVE	316	65461603	30/12/1997	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 2132		S98MC2132F	TANNERY HOUSE	37 TANNERY LANE 347790	37 TANNERY LANE 01-07 SINGAPORE 347790	ACTIVE	67	68427356	06/01/1998		67026018
 Single Tier Management Corporation	 2133		S97MC2133H	JOO SENG WAREHOUSE	1 UPPER ALJUNIED LINK 367901	1 UPPER ALJUNIED LINK 01-00 SINGAPORE 367901	ACTIVE	84	63488278	26/12/1997	Iland Property Consultants Pte Ltd	63488278
 Single Tier Management Corporation	 2134		S0103472C	LHK3 BUILDING	8 NEW INDUSTRIAL ROAD 536200	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	21	68421731	23/02/1998	Landsfield Property Consultants Pte Ltd	68421731
 Single Tier Management Corporation	 2135		S97MC2135L	MANAGEMENT CORPN STRATA TITLE PLAN NO 2135	250 SIMS AVENUE 387513	250 SIMS AVENUE 04-01 SINGAPORE 387513	ACTIVE	4	6256 9333	17/11/1997	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 2136		S97MC2136G	KIM COURT		C/O 705 SIMS DRIVE 06-01 SINGAPORE 387384	ACTIVE	14	67445577	08/12/1997	SIN SOON LEE REALTY CO PTE LTD	67445577
 Single Tier Management Corporation	 2137		S97MC2137C	BUGIS JUNCTION	80 MIDDLE ROAD 188966	230 VICTORIA STREET 04-10A SINGAPORE 188024	ACTIVE	4	64235170	27/11/1997	BUGIS JUNCTION ASSET MANAGEMENT PTE LTD	64325170
 Single Tier Management Corporation	 2138		S97MC2138K	SUNNY GROVE	5A LORONG 37 GEYLANG 387914	3006 UBI ROAD 1 3-370 SINGAPORE 408700	ACTIVE	20	67441083	26/11/1997	CHERN SERN PROPERTY SERVICES PTE LTD	67441083
 Single Tier Management Corporation	 2139		S98MC2139L	SEMBAWANG COTTAGE	369 SEMBAWANG ROAD 758382	369 SEMBAWANG ROAD B1-01 SINGAPORE 758382	ACTIVE	27	6884 9113	07/08/1998		
 Single Tier Management Corporation	 2140		S97MC2140C	BAYVILLE CONDOMINIUM	42 SOUTH BUONA VISTA ROAD 118166	42 SOUTH BUONA VISTA ROAD 01-03 SINGAPORE 118166	ACTIVE	63	63387222	29/12/1997	HBA Group Property Consultants Pte Ltd	63387222
